0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,chain_break_fraction,energy,num_occurrences
1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0.0,-6.954076182241062,3
1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0.0,-6.953050398842754,1
1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0.0,-6.953050398842754,1
1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0.0,-6.952990497663841,1
1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0.0,-6.952990497663841,5
0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0.0,-6.952858880446076,2
0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0.0,-6.952798979267163,2
0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0.0,-6.951773195868855,2
0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0.0,-6.951773195868855,2
0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0.0,-6.951713294689942,4
