n,sparsity,distribution,seed,solution_first,value_first,solution_most,value_most,annealer_tte,solution_gurobi,value_gurobi,gurobi_tte
34,1.0,random,111,0000111011011111111101000011011000,-800.24,0000111011011111111101000011011000,-800.24,5.3063,0000111011011111111101000011011000,-800.24,0.1202
35,1.0,random,111,01100011001101100111110101001110010,-800.24,01100011001101100111110101001110010,-800.24,5.49,10011100110010011000001010110001101,-800.24,0.1296
36,1.0,random,111,100100010010001100000000010000111001,-882.51,010111101101111010101101001111110010,-867.26,5.4509,011011101101110011111111101111000110,-882.51,0.1385
37,1.0,random,111,1110000100100000110110101100000011001,-882.51,1110000100100000110110101100000011001,-882.51,8.2103,0001111011011111001001010011111100110,-882.51,0.15
38,1.0,random,111,10010001001100111000000101000111100000,-904.01,10010001001100111000000101000111100000,-904.01,5.5162,01101110110011000111111010111000011111,-904.01,0.157
39,1.0,random,111,100100010011001100000001010001111000000,-904.01,100100010011001100000001010001111000000,-904.01,6.3029,011011101100110011111110101110000111111,-904.01,0.1579
40,1.0,random,111,0001110010001111000100000011100111000001,-904.01,0001110010001111000100000011100111000001,-904.01,5.5518,1110001101110000111011111100011000111110,-904.01,0.1685
41,1.0,random,111,01100101010011001101101011001000101110100,-948.55,10011010101100110010010100110111010001011,-948.55,5.5318,01100101010011001101101011001000101110100,-948.55,0.1604
42,1.0,random,111,011010011000010011001010111100000111001101,-948.55,011010011000010011001010111100000111001101,-948.55,5.4864,100101100111101100110101000011111000110010,-948.55,0.1765
43,1.0,random,111,1001011001011011101101010000111111001010001,-948.55,0110100110100100010010101111000000110101110,-948.55,5.3736,1001011001011011101101010000111111001010001,-948.55,0.1951
44,1.0,random,111,00011000101001110000000100111001110110111101,-948.55,00011000101001110000000100111001110110111101,-948.55,5.3435,11100111010110001111111011000110001001000010,-948.55,0.2051
45,1.0,random,111,100101100100101010110100000011010010010000010,-1038.05,100101100100101010110100000011010010010000010,-1038.05,5.5039,100101100100101010110100000011010010010000010,-1038.05,0.2275
46,1.0,random,111,1001101011000010101001000011110100111010000110,-1121.7,0110010100111101010110111100001011000101111001,-1121.7,5.6124,0110010100111101010110111100001011000101111001,-1121.7,0.2413
47,1.0,random,111,00010101010011111001000101000001100000100001001,-1183.87,11101010101100000110111010111110011111011110110,-1183.87,5.608,00010101010011111001000101000001100000100001001,-1183.87,0.2476
48,1.0,random,111,111011101100101010111110001111000011101001000010,-1183.87,000100010011010101000001110000111100010110111101,-1183.87,5.4744,000100010011010101000001110000111100010110111101,-1183.87,0.2158
49,1.0,random,111,1110101010000000111011101011111000111101010011110,-1272.58,1001111010001001111101001011011100110101000101110,-1267.37,5.5864,1110101010000000111011101011111000111101010011110,-1272.58,0.2701
50,0.0,random,111,10111001100011000101000010100001010010010110000111,-6873.87,00101010101010000010011111010110011101111001111000,-6208.12,25.1073,01000110011100111010111101011110101101101001111000,-6873.87,6686.4772
51,0.0,random,111,100000011000100011011100011010110101100101101010000,-7414.76,111111100110111100100011010001011010101011011101101,-7032.94,22.8356,100000011000100011011100011010110101100101101010000,-7414.76,30113.3455
