n,sparsity,seed,solution_lowest,value_lowest,solution_most,value_most,annealer_tte
106,0.5,222,1000010101000110110011010101001010111000111100111111110000010000001001011011001111101000101110100001110101,-13515.43,1000010101000110110011010101001010111000111100111111110000010000001001011011001111101000101110100001110101,-13515.43,47.2485
107,0.5,222,01010010110100001110001001101001011000010101010010001111110011000110001010111000011010011101010010010011001,-13530.84,01011010110010101110101101001101010011010101010010000101110011110000101110111110011010011101011000010011111,-13575.1,140.4338
108,0.5,222,011110111101011001110000100010010000111110000111100101110011110000101111000110001001110110010000010010010110,-14119.3,011110111101011001110000100010010000111110000111100101110011110000101111000110001001110110010000010010010110,-14119.3,207.4985
109,0.5,222,0110100110110110101010001011100100110000011011001010001000000110100111001100111010001110001101111111111111111,-14013.05,0110100110110110101010001011100100110000011011001010001000000110100111001100111010001110001101111111111111111,-14013.05,211.627
110,0.5,222,01001001111111011010101111100000011011001111010101100101100001010101111110111100000001111100101001111101011110,-14247.58,10110110000000100101010000011110100100110000001010011010011010101110001001000001111110011011010110000010100000,-14443.47,284.8987
111,0.5,222,100010011100101010011001110101101110011110011111111111001110111111111111111111111010010011011010100110110011100,-14910.07,100010011100101010011101110101101010011110011111111111001110111111111110111011111110010011011010100110100011110,-15141.92,118.8207
112,0.5,222,0100010001010110001100001101101111000010000111111010011011001110011100100101011000010101000010001001101101101000,-13573.87,0101100100011111001001000000110011101100000100110101111011110001001101000101010010011110000001010111000101010111,-13851.16,257.4237
113,0.5,222,01101000010010010101101000100010100111011111100110101010101000101010101110100101111011110011001010011110101000001,-14453.57,10010111111101111110000011011101011000100000011001010001000110110101100000101010100111001100100101000101011110110,-14848.42,167.0931
114,0.5,222,111011100011010011110011011000000000000001011100110000000111110000001001111011000010010111000010101010010101101001,-14822.33,010001011001101110010101111110101010101001000011101101001010101000010100100011111111000111111100110110011000100101,-14887.93,170.1201
115,0.5,222,1000111111010001101010110101111011100100101111011000101100110010000101000111110110110001010111101101111011110111010,-14610.75,0111110010011111110001101110000100011111010000111010011001000101011110111000001001001110100000110010000110010100101,-14677.93,217.6493
116,0.5,222,01101110001101110100010010101001100010010110011100000001000101100101100110111101101100000101011001100011110010101110,-16589.86,01101110001101110100010010101001100010010110011100000001000101100101100110111101101100000101011001100011110010101110,-16589.86,56.9435
117,0.5,222,111010101011100010111001100000110111011000000111101011110011010110110101000101001110110100000010011100010100011111111,-15923.87,111010101011100010111001100000110111011000000111101011110011010110110101000101001110110100000010011100010100011111111,-15923.87,269.0275
118,0.5,222,0101001010010101010000111001011111111010010001100001111111011111011111101100000000101010011011001010010111001001101011,-16494.33,1010111001101000111111000110101000100100001111000010000000101010111010010011111111010101110100101001100000110010010000,-16964.31,276.9179
119,0.5,222,00000111011100011010000000100011101011110010000011101101110111010101110001000111000011010000100101011011110010101110111,-17648.34,00000111011100011010000000100011101011110010000011101101110111010101110001000111000011010000100101011011110010101110111,-17648.34,186.8959
120,0.5,222,101001010001000100101011010100000001010101001111010110101001110110000101101110110010010010011100101100110110110000011001,-17169.72,101001010001000100101011010100000001010101001111010110101001110110000101101110110010010010011100101100110110110000011001,-17169.72,195.3366
