0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,chain_break_fraction,energy,num_occurrences
1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0.0,-527.0899999999999,1
1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-526.05,1
1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0.0,-525.75,1
0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0.0,-525.2199999999999,1
1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0.0,-525.1600000000001,1
1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0.0,-523.79,1
0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0.0,-523.34,2
1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.0,-522.52,2
0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0.0,-520.61,2
1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0.0,-520.6099999999999,1
0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0.0,-520.2299999999999,2
1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0.0,-518.51,1
1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0.0,-518.34,1
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0.0,-518.12,1
1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-517.3599999999999,1
1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.0,-517.08,2
0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0.0,-516.7800000000001,1
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0.0,-513.0699999999999,1
0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0.0,-508.44,1
